sequence,scheme,repetition,duty_position,duty_percent,payload_bits,boundary_source,manifest_clock_correction_s,autonomous_acquisition_evaluated,start_offset_s,narrow_sync_correlation_at_frozen_boundary,sync_bit_errors,raw_body_bit_errors,raw_body_bits_denominator,raw_symbol_errors,raw_symbols_denominator,decoder_failure,corrected_symbol_count,decoded_payload_bit_errors_conditional_on_decode,decoded_payload_bits_evaluated,frame_error,decoded_payload_bits,exploratory_gmd,exploratory_gmd_decoder_failure,exploratory_gmd_payload_bit_errors_conditional_on_decode,exploratory_gmd_frame_error,exploratory_gmd_wrong_codeword_miscorrection,exploratory_gmd_erasure_count,exploratory_gmd_selected_erasures,exploratory_gmd_candidate_count,exploratory_gmd_margin,off_rms_normalized_diagnostic,normalized_sync_bit_errors,normalized_raw_body_bit_errors,normalized_decoder_failure,normalized_payload_bit_errors_conditional_on_decode,normalized_frame_error,physical_inband_active_power_x,physical_inband_off_power_x,physical_inband_snr_db_x,physical_inband_active_power_y,physical_inband_off_power_y,physical_inband_snr_db_y,physical_inband_snr_db_pooled,physical_positive_inband_power_estimate,physical_wide_0_10hz_off_power_x,physical_wide_0_10hz_off_power_y,physical_carrier_vs_0_10hz_off_noise_snr_db_pooled,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,manifest_duration_s,expected_duration_s,duration_error_s,start_interval_s,start_interval_error_s,target_pulse_us,pulse_count,late_starts,pulse_median_us,pulse_p95_us
26,rs18_6,3,8,45.000000000,100001000001010001101010001010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1835.964999706,0.491767425,3,35,90,17,18,1,0,,0,1,,1,0,16,1,1,12,"3,16,8,6,11,15,9,14,2,13,1,4",1,,1,4,31,1,,1,0.344488587,0.566219805,,1.403943084,0.323716269,5.233504270,-0.156207397,1,28.665911177,118.174608532,-22.331078410,4095,0.000000000,0.000000000,0.000000000,53.001217000,53.000000000,0.001217000,68.008998156,0.008998156,28125.000000000,424,0,28746.982000000,28777.221000000
27,rs18_6,3,9,40.000000000,100001000001010001101010001010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1903.974999695,0.417091677,7,37,90,18,18,1,0,,0,1,,1,0,13,1,1,12,"10,9,12,16,6,1,14,4,13,7,15,17",1,,1,6,22,1,,1,0.339524236,0.229655374,-3.202019833,1.135946777,0.222907471,6.123648493,3.541577510,1,135.143423171,3520.293009949,-35.531025895,4095,0.000000000,0.000000000,0.000000000,53.001178000,53.000000000,0.001178000,68.009002924,0.009002924,25000.000000000,424,0,25755.786000000,25776.039000000
28,rs18_6,4,1,25.000000000,111001000111101100010011100010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1971.989999684,0.345254869,3,43,90,17,18,1,0,,0,1,,1,0,14,1,1,12,"6,5,14,8,13,7,9,3,0,10,17,4",1,,1,4,30,1,,1,0.272276949,0.307806700,,0.886266083,0.271358959,3.552653587,0.001587271,1,33.627078732,131.397003634,-24.545857964,4095,0.000000000,0.000000000,0.000000000,53.001222000,53.000000000,0.001222000,68.014997959,0.014997959,15625.000000000,424,0,15756.473000000,15776.102000000
29,rs18_6,4,2,10.000000000,111001000111101100010011100010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,2039.999999673,0.111376232,3,35,90,17,18,1,0,,0,1,,1,0,13,1,1,12,"13,4,3,1,12,11,16,6,2,10,17,9",1,,1,4,32,1,,1,0.366577550,0.398187652,,0.505745406,0.376312796,-4.635052761,-8.985828792,1,32.887554027,145.499909615,-32.609255365,4095,0.000000000,0.000000000,0.000000000,53.001203000,53.000000000,0.001203000,68.008001089,0.008001089,6250.000000000,424,0,6759.157000000,6777.201000000
30,rs18_6,4,3,1.000000000,111001000111101100010011100010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,2108.004999663,0.038695414,3,49,90,18,18,1,0,,0,1,,1,0,17,1,1,12,"9,5,13,4,3,15,12,16,1,6,7,10",1,,1,4,46,1,,1,0.302892996,0.196237469,-2.647985663,0.332708779,0.474104668,,,0,28.197145398,93.791136894,,4095,0.000000000,0.000000000,0.000000000,53.001248000,53.000000000,0.001248000,68.007994890,0.007994890,625.000000000,424,213,758.241000000,776.299000000
31,rs18_6,4,4,100.000000000,111001000111101100010011100010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,2176.014999652,0.611905878,0,7,90,6,18,0,6,0,30,0,111001000111101100010011100010,1,0,0,0,0,0,,1,,1,0,6,0,0,0,0.217752503,0.403196351,,2.294422779,0.463268075,5.968926640,2.786027972,1,24.795395228,163.655856155,-20.588454917,4095,0.000000000,0.000000000,0.000000000,53.001212000,53.000000000,0.001212000,68.008002043,0.008002043,62500.000000000,0,0,,
32,rs18_6,4,5,50.000000000,111001000111101100010011100010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,2244.024999641,0.427470014,0,27,90,16,18,1,0,,0,1,,1,0,10,1,1,12,"5,12,14,15,0,13,9,16,6,11,1,17",1,,1,0,25,1,,1,0.281117208,0.278986330,-21.170244662,1.325233341,0.252211374,6.288439441,3.062140182,1,27.538401738,121.950673627,-21.431392475,4095,0.000000000,0.000000000,0.000000000,53.001169000,53.000000000,0.001169000,68.009000063,0.009000063,31250.000000000,424,0,31758.343000000,31780.968000000
33,rs18_6,4,6,45.000000000,111001000111101100010011100010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,2312.029999630,0.438803600,2,19,90,12,18,1,0,,0,1,,1,0,9,1,1,12,"14,10,16,6,2,11,4,12,13,17,7,0",1,,1,2,18,1,,1,0.332842200,0.239340801,-4.081986276,1.289357762,0.610862930,0.456027727,-0.419078262,1,27.088484365,105.433399610,-22.346724211,4095,0.000000000,0.000000000,0.000000000,53.001233000,53.000000000,0.001233000,68.009001017,0.009001017,28125.000000000,424,0,28756.565000000,28776.613000000
34,rs18_6,4,7,40.000000000,111001000111101100010011100010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,2380.039999619,0.544752445,2,31,90,17,18,1,0,,0,1,,1,0,16,1,1,10,"1,3,13,17,5,7,4,15,9,0",2,3.227995604,1,4,30,1,,1,0.348579106,0.392951949,,1.117691325,0.241014384,5.607966200,1.182158368,1,36.247782109,121.763884026,-22.784071201,4095,0.000000000,0.000000000,0.000000000,53.001196000,53.000000000,0.001196000,68.007998943,0.007998943,25000.000000000,424,0,25753.444000000,25774.827000000
35,rs18_6,4,8,35.000000000,111001000111101100010011100010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,2448.049999608,0.476657989,5,29,90,16,18,1,0,,0,1,,1,0,14,1,1,12,"0,8,15,14,17,11,16,3,5,6,10,4",1,,1,5,29,1,,1,0.297334504,0.214031490,-4.098169634,0.953267515,0.325220880,2.858134716,1.202910578,1,26.973886864,96.378471499,-22.390643362,4095,0.000000000,0.000000000,0.000000000,53.001253000,53.000000000,0.001253000,68.008002043,0.008002043,21875.000000000,424,0,22759.564000000,22776.203000000
