role,sequence,repetition,duty_percent,section,frame_bit_index,body_bit_index,target_bit,position,symbol_index,bit_in_symbol,x_first_i,x_first_q,x_second_i,x_second_q,x_first_abs,x_second_abs,x_delta_i,x_delta_q,x_delta_abs,x_aligned_i,x_aligned_q,x_sync_abs,y_first_i,y_first_q,y_second_i,y_second_q,y_first_abs,y_second_abs,y_delta_i,y_delta_q,y_delta_abs,y_aligned_i,y_aligned_q,y_sync_abs,pooled_aligned_i,pooled_aligned_q,baseline_llr,baseline_bit,sensor_y_llr,sensor_y_abs_llr,sensor_y_bit
historical,29,4,10.0,body,54,38,0,body_38,7,3,-0.10025000682777495,-0.11118739683416158,-0.06502751302510562,-0.053540945443978125,0.14970872080051398,0.08423307123253504,-0.03522249380266933,-0.057646451390183456,0.06755543965928919,-0.20042750220839156,1.97152770325808,0.034089823290726455,2.5961953908197275,0.8295911581165473,-2.41514180106694,-0.6618143542257952,2.7255186656742514,2.5041781403726393,5.011337191886668,1.4914055123423424,5.228555331354128,-4.560930446766818,1.6101481600711909,1.080994055215013,-4.76135794897521,3.581675863329271,-3.0761899068934886,0,-3.100512053401392,3.100512053401392,0
historical,31,4,100.0,body,43,27,0,body_27,5,2,-0.18921257883863224,0.03186286167815963,-0.03744953422935565,-0.018933146378148264,0.1918766320975203,0.04196345607516223,-0.1517630446092766,0.05079600805630789,0.16003829586550142,0.4780052734679784,1.137714507128741,0.12968525498045402,-0.7705035803569367,-1.2165729309196898,-2.133713946534622,1.5862136969356946,1.440043563087375,2.6587232082303633,1.3632103661776853,-2.8027866278553843,3.116721897080209,-1.0288546545510957,-0.03550381468924122,3.027510085412425,-0.5508493810831173,1.1022106924394997,-4.378694548521757,0,-5.209018879022167,5.209018879022167,0
historical,5,1,35.0,body,76,60,0,body_60,12,0,0.12750205959072908,-0.0037452622990551297,-0.09730602125059398,0.06061979622118358,0.12755705464444744,0.11464388978710933,0.22480808084132306,-0.06436505852023872,0.2338408304164878,1.3358514608933147,-2.9613170108514577,0.07198034225314363,0.7909849824314528,-0.5934940850827124,-2.040528066934806,1.85013596238465,0.9888844580941959,2.7544069908525994,2.831513049366259,-2.4436300474673622,3.7401596165961624,-1.4311005506055932,-0.05808700065512429,2.611334693103259,-0.09524908971227841,-3.019404011506582,-6.264658992982549,0,-7.428817064134169,7.428817064134169,0
historical,5,1,35.0,body,87,71,1,body_71,14,1,-0.01923384933939572,-0.04307103258224995,-0.05972414305447356,0.04346607930419326,0.04717048662152862,0.07386659132293596,0.04049029371507784,-0.08653711188644321,0.0955412770418109,-0.5539752358409479,-1.2061931686205085,0.07198034225314363,2.0924071390455676,0.8618499779118773,1.4586372087095054,0.869893457108719,2.2629522796461177,1.6983336342875672,0.6337699303360622,-0.008043479196841674,0.6338209701136175,-0.17926077923723754,-0.16364035243682773,2.611334693103259,-0.7332360150781854,-1.3698335210573362,-1.0612278408468108,0,-0.9305394615102689,0.9305394615102689,0
historical,3,1,45.0,body,95,79,1,body_79,15,4,-0.023084035375723243,0.05289804021137085,0.06458223482745151,0.25019692591273957,0.05771546887474319,0.25839769114969463,-0.08766627020317476,-0.19729888570136872,0.21589864573530285,-1.657964568229712,9.278011069972525,0.022907055387682583,0.6160736314779289,-1.871785233892917,1.0897667743713166,0.7020388388429967,1.9705650664776246,1.2963217786366497,-0.4736931428933877,-2.573824072735914,2.6170509263327495,-1.1740998084145091,1.4394305536927061,1.4088767531661803,-2.832064376644221,10.71744162366523,-1.3619807374458321,0,-1.340865319061913,1.340865319061913,0
historical,13,2,30.0,body,68,52,0,body_52,10,2,-0.2248082729056515,0.040566719740153245,-0.098521537028883,-0.21220448499887778,0.22843909104463278,0.23395990406942063,-0.1262867358767685,0.25277120473903103,0.28256259767285163,4.419904035684711,-1.300403525319521,0.061330209205326766,-0.8895477626825038,0.2756887797050333,-1.9698880468128375,-1.8435757770062264,0.9312891738599233,2.698004922630833,1.0803402841303336,2.1192645567112596,2.3787428172981167,1.6439949623795913,-0.8199713085188587,1.2948097000990053,6.063898998064302,-2.1203748338383797,5.853617659950952,1,2.9570773430089234,2.9570773430089234,1
historical,15,2,10.0,body,34,18,1,body_18,3,3,0.11181170131045498,-0.06696147348655317,-0.07453463728137705,-0.04638529650348305,0.13032918123516607,0.08778956593116564,0.18634633859183203,-0.020576176983070113,0.18747889738800025,1.8115733800188893,3.1410272735294513,0.051704103582800025,-0.22611960865274408,-1.2273793820182322,-1.4701822924839245,-0.3125602323355592,1.2480345447225119,1.5030402096986448,1.2440626838311803,-0.914819149682673,1.544210490162325,5.658516591236353,-0.06264344178057699,0.2728835102515095,7.470089971255242,3.0783838317488743,0.7931817168834179,1,0.24406492862306964,0.24406492862306964,1
historical,17,2,100.0,body,77,61,1,body_61,12,1,-0.06963312792391971,-0.022305526747078062,-0.13765550347624375,-0.10053091283102403,0.07311845887280162,0.1704567454574242,0.06802237555232404,0.07822538608394597,0.10366414328862135,1.387658995216131,-0.7270621725718018,0.06617166959989917,-0.8880089168620204,2.1886376252600845,0.2759500658244183,0.3462036736093499,2.361926013051755,0.44272499641324753,-1.1639589826864387,1.8424339516507346,2.179303416133649,0.5845856232181256,0.17489566942456602,3.5715304523660034,1.9722446184342566,-0.5521665031472358,6.425939147314914,1,6.071468352522815,6.071468352522815,1
historical,20,3,30.0,body,61,45,0,body_45,9,0,0.06285766214288514,-0.20176832311648787,-0.1334794068933305,-0.0033654632481866496,0.21133277526997216,0.1335218274570498,0.19633706903621562,-0.19840285986830122,0.27912710273574737,-7.3431707368075925,9.555198656212985,0.023162361932692777,0.052042026255198444,-3.961427544641548,-0.7405183417203601,2.5684470584279797,3.9617693728865024,2.6730670972445894,0.7925603679755586,-6.529874603069528,6.5777970680690645,-3.061049736161748,3.4965943067520144,1.4154411858345979,-10.40422047296934,13.051792962965,-0.19994573878361654,0,-0.44199245417641003,0.44199245417641003,0
historical,17,2,100.0,body,71,55,1,body_55,11,0,-0.10520438971234498,0.06209471527130705,-0.030344696576482186,0.011354258486604448,0.12216266728985435,0.032399379563494715,-0.0748596931358628,0.0507404567847026,0.09043543338269473,0.4847091739769318,1.2778374678850941,0.06617166959989917,-1.1824139598694814,1.9476638800829957,-0.25868631514767104,-0.27709219273180946,2.278485760823222,0.3790761043874995,-0.9237276447218103,2.224756072814805,2.4089027263776464,0.6695576438412438,0.08128403703441492,3.5715304523660034,1.1542668178181756,1.3591215049195091,6.8281167075709694,1,6.9539822453947036,6.9539822453947036,1
historical,16,2,1.0,body,35,19,0,body_19,3,4,-0.10892275270977982,-0.05384051384121445,0.0800181092218958,0.18232067298538004,0.12150295053438764,0.1991073218173785,-0.1889408619316756,-0.23616118682659448,0.30244132566636817,4.285058666677639,-4.461863673832537,0.04888911278425375,-0.011565931812791572,-0.552367758228585,-0.6563830938528332,0.4440663095371229,0.552488833470117,0.7924857431914704,0.6448171620400417,-0.9964340677657079,1.1868740556038322,5.105086608535557,4.036890472924045,0.1823622298057044,9.390145275213197,-0.4249732009084912,1.3525954324097502,1,0.09106944902680848,0.09106944902680848,1
historical,26,3,45.0,body,76,60,1,body_60,12,0,0.023903561781419436,-0.1721848902505558,-0.07193555786952342,-0.020311794356298537,0.17383617775490257,0.07474820048651415,0.09583911965094286,-0.15187309589425727,0.1795844484134804,-1.1503445773633936,-1.621678270963791,0.09032292821036787,-1.4802237640545661,-1.5698716455645294,-1.5551731624081142,2.4047712608157745,2.157674529492192,2.8638240836196527,0.07494939835354808,-3.974642906380304,3.975349499799084,-3.096487568051973,1.4085531424405535,1.1686010640144848,-4.246832145415366,-0.2131251285232374,-2.7910771497594276,0,-2.3643275509840516,2.3643275509840516,0
historical,13,2,30.0,body,98,82,1,body_82,16,2,0.03606785600831855,0.05899246158694921,0.012697212899621793,-0.021263252654991006,0.0691447811560965,0.02476580563778017,0.023370643108696756,0.08025571424194021,0.08358927340154382,0.6983425827204649,-1.170434817213052,0.061330209205326766,-1.6017484815521463,0.6928591074449852,0.16863529591208928,-1.1178071007028456,1.745179629987718,1.1304559157300471,-1.7703837774642357,1.8106662081478309,2.532344928487622,1.3863545265876174,1.379507955033128,1.2948097000990053,2.0846971093080824,0.20907313782007586,2.9341238713064275,1,2.4936557919959945,2.4936557919959945,1
