sequence,phase,scheme,repetition,duty_percent,duty_label,frame_bits,start_offset_s,boundary_source,manifest_clock_correction_s,autonomous_acquisition_evaluated,sync_correlation_score,sample_rate_hz,sync_bit_errors,coded_body_bit_errors,raw_frame_bit_errors,raw_payload_bit_errors,raw_payload_frame_error,coded_body_frame_error,raw_symbol_errors,decoder_failure,rs5_application_padding_valid,decoder_corrected_units,hamming_syndrome,decoded_payload_bit_errors_conditional_on_decode,decoded_payload_bits_evaluated,payload_bits_per_frame,decoded_payload_frame_error,frame_error,sync_inclusive_diagnostic_frame_error,decoded_payload_bits,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,inband_active_power_x,inband_off_power_x,inband_snr_db_x,inband_active_power_y,inband_off_power_y,inband_snr_db_y,inband_snr_db_pooled,positive_inband_power_estimate,tone_coherence,off_coherence,manifest_duration_s,expected_duration_s,duration_error_s,start_interval_s,start_interval_error_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
21,short,hamming15_11,2,25.000000000,commanded 25%,31,649.804999896,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.496311458,200.000000032,2,5,7,3,1,1,,0,,1,3,2,11,11,1,1,1,10001110100,4095,0.000000000,0.000000000,0.000000000,0.589098499,0.331258666,-1.088172373,1.396239682,0.399324497,3.973322575,2.348892816,1,0.004468758,0.231017127,15.501150000,15.500000000,0.001150000,28.506999016,0.006999016,15625.000000000,124,0,15654.351000000,15754.685000000,15777.858000000,16634.944000000
22,short,uncoded,2,10.000000000,commanded 10%,27,680.309999891,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.255242939,200.000000032,2,4,6,4,1,1,,0,,0,0,4,11,11,1,1,1,10000101000,4095,0.000000000,0.000000000,0.000000000,0.402259228,0.429327059,,0.356328888,0.148750298,1.447247163,-5.054828650,1,0.077345888,0.102241788,13.501153000,13.500000000,0.001153000,30.508000851,0.008000851,6250.000000000,108,0,6386.296000000,6762.278000000,6777.796000000,6782.204000000
23,short,hamming15_11,2,10.000000000,commanded 10%,31,708.819999887,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.388163813,200.000000032,4,5,9,5,1,1,,0,,1,8,5,11,11,1,1,1,01001101101,4095,0.000000000,0.000000000,0.000000000,0.674118016,0.507357029,-4.832192250,0.477288823,0.255061761,-0.598484069,-2.922573315,1,0.166422581,0.037145326,15.501159000,15.500000000,0.001159000,28.506995916,0.006995916,6250.000000000,124,0,6440.741000000,6756.176000000,6777.385000000,6789.593000000
24,short,rs5_3,2,10.000000000,commanded 10%,41,739.329999882,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.549527532,200.000000032,4,8,12,5,1,1,5,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.454408253,0.221988600,0.199421762,0.318027768,0.306498676,-14.246335079,-3.357359482,1,0.261560505,0.194232367,20.501174000,20.500000000,0.001174000,30.508998156,0.008998156,6250.000000000,164,0,6531.482000000,6746.426000000,6772.516000000,6784.315000000
25,short,hamming15_11,2,1.000000000,"commanded 1%, timing-limited",31,774.834999876,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.141167532,200.000000032,4,10,14,9,1,1,,0,,1,11,8,11,11,1,1,1,01010010011,4095,0.000000000,0.000000000,0.000000000,0.280292181,0.793076894,,0.196051138,0.190153344,-15.084143909,,0,0.068098460,0.071298701,15.501175000,15.500000000,0.001175000,35.508003950,0.008003950,625.000000000,124,62,641.574000000,753.722000000,776.647000000,1622.204000000
26,short,rs5_3,2,1.000000000,"commanded 1%, timing-limited",41,805.344999871,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.243455256,200.000000032,4,12,16,3,1,1,5,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.450306181,0.706240380,,0.196507284,0.317727920,,,0,0.199156477,0.094041164,20.501174000,20.500000000,0.001174000,30.507998943,0.007998943,625.000000000,164,82,636.815000000,756.194000000,776.632000000,1636.074000000
27,short,uncoded,2,1.000000000,"commanded 1%, timing-limited",27,840.849999865,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.141475489,200.000000032,5,4,9,4,1,1,,0,,0,0,4,11,11,1,1,1,00001000000,4095,0.000000000,0.000000000,0.000000000,0.530862825,0.526911104,-21.249511167,0.182642511,0.142557649,-5.510101316,-11.819167019,1,0.242763977,0.034708683,13.501152000,13.500000000,0.001152000,35.508001089,0.008001089,625.000000000,108,54,637.963000000,758.916000000,780.944000000,1632.260000000
28,short,rs5_3,2,100.000000000,commanded 100%,41,869.359999861,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.695426939,200.000000032,0,0,0,0,0,0,0,0,1,0,,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.420634305,0.532565081,,9.472510829,0.249308607,15.681444589,10.664423871,1,0.133534690,0.037065612,20.501163000,20.500000000,0.001163000,28.508001089,0.008001089,62500.000000000,0,0,,,,
29,short,uncoded,2,100.000000000,commanded 100%,27,904.869999855,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.548224960,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.364032078,0.562565813,,9.799286167,0.242378537,15.958232295,10.654345364,1,0.181504065,0.000528868,13.501167000,13.500000000,0.001167000,35.507995844,0.007995844,62500.000000000,0,0,,,,
30,short,hamming15_11,2,100.000000000,commanded 100%,31,933.374999851,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.609107497,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.632693067,0.534827887,-7.375858421,8.659538509,0.153300664,17.441934869,10.970360250,1,0.052506664,0.013264115,15.501173000,15.500000000,0.001173000,28.508002043,0.008002043,62500.000000000,0,0,,,,
