role,sequence,repetition,duty_percent,section,frame_bit_index,body_bit_index,target_bit,position,symbol_index,bit_in_symbol,x_first_i,x_first_q,x_second_i,x_second_q,x_first_abs,x_second_abs,x_delta_i,x_delta_q,x_delta_abs,x_aligned_i,x_aligned_q,x_sync_abs,y_first_i,y_first_q,y_second_i,y_second_q,y_first_abs,y_second_abs,y_delta_i,y_delta_q,y_delta_abs,y_aligned_i,y_aligned_q,y_sync_abs,pooled_aligned_i,pooled_aligned_q,baseline_llr,baseline_bit,sensor_y_llr,sensor_y_abs_llr,sensor_y_bit
historical,1,1,100.0,body,25,9,0,body_09,1,4,0.10043738564810094,0.03252459158339723,0.1515848741894611,0.09989306647081551,0.10557233299256083,0.18153952410419477,-0.051147488541360156,-0.06736847488741829,0.08458473262205939,-0.5820241711097436,0.43532685861703574,0.1163770798616715,-2.5315458671176514,-1.0662368318215125,1.8767727264069483,4.727524242316854,2.7469229073370878,5.08642913331922,-4.4083185935246,-5.7937610741383665,7.280174462622147,-1.0938053694735728,0.9572747681598139,5.008574259241557,-1.6758295405833163,1.3926016267768497,-20.51899420928283,0,-19.197793681710916,19.197793681710916,0
historical,1,1,100.0,body,59,43,0,body_43,8,3,-0.11578992025639016,-0.011064981014644624,0.07567721164810061,0.08675728255878483,0.11631740814613967,0.11512543784853217,-0.19146713190449077,-0.09782226357342945,0.2150089715578426,-0.8523636367226226,1.6391479588619988,0.1163770798616715,-0.15864880533846937,1.6235111458135882,-0.8435533795686759,3.4317684093336704,1.6312442747842133,3.533923700291545,0.6849045742302066,-1.8082572635200822,1.933620595379196,-0.36954624606497977,-0.11171168910382562,5.008574259241557,-1.2219098827876023,1.5274362697581731,-5.465401520811218,0,-6.4860465909220135,6.4860465909220135,0
historical,17,2,100.0,body,24,8,0,body_08,1,3,0.09315365556769192,-0.09452877060778005,0.045540232165048884,0.07572946891757447,0.13271507833792845,0.08836778376865875,0.04761342340264304,-0.17025823952535452,0.17679057162188358,-2.0644104771167027,-1.1737237370136644,0.07444610076954251,1.470729196690674,-1.0092124952849366,-1.4477062352397727,5.313085325200258,1.783691181409395,5.506789356459029,2.9184354319304466,-6.322297820485194,6.963383882945051,-1.8269088471062114,-0.3062657138810743,3.759109744056122,-3.891319324222914,-1.4799894508947387,-19.336537933986484,0,-18.998035526848895,18.998035526848895,0
historical,1,1,100.0,body,77,61,0,body_61,12,1,0.0338547491699278,-0.05330194881672107,0.10807847811236056,0.11723992427325135,0.06314461013435017,0.15945581605787137,-0.07422372894243276,-0.17054187308997243,0.1859937967114925,-1.4699701207856584,0.6272397044894673,0.1163770798616715,-0.8946228267078508,-0.037085888474681174,-0.6461606414893319,3.3585510381348636,0.8953911799826385,3.420144536473082,-0.24846218521851882,-3.3956369266095447,3.40471490654326,-0.6729786728873164,0.09590012776392808,5.008574259241557,-2.142948793672975,0.7231398322533954,-12.68882785637448,0,-11.811704417304446,11.811704417304446,0
historical,24,3,100.0,body,35,19,0,body_19,3,4,0.03604393430393974,0.12209365343883473,-0.02215338490533261,-0.03810265714413764,0.1273028884595672,0.04407476539027204,0.05819731920927235,0.16019631058297237,0.17043997737485794,1.403412736365468,-0.3196852302959628,0.11841347379305521,-1.7885064484397657,-1.0145957398883463,-3.233091916015517,0.7532581777655654,2.0562489711876344,3.319680891256807,1.4445854675757515,-1.7678539176539116,2.283009997195662,-0.44041089009035217,-0.16116212742322747,4.868113058086618,0.9630018462751159,-0.4808473577191903,-3.1885650948201647,0,-5.589236709943332,5.589236709943332,0
historical,17,2,100.0,body,73,57,0,body_57,11,2,-0.0042883862039263965,0.12449257107079144,-0.02051301854372726,0.03855749251442694,0.124566410031156,0.043674525283915654,0.016224632339800864,0.08593507855636451,0.08745328136239515,1.1727656978724663,0.0677227185088603,0.07444610076954251,-0.9465446437999261,0.3667678698819524,1.0271733530926777,1.365906548005561,1.015118433033345,1.7090306595225617,-1.9737179968926037,-0.9991386781236086,2.2122027098302595,-0.11820840158428406,0.5764968118743024,3.759109744056122,1.0545572962881822,0.6442195303831626,-0.7841959663943001,0,-1.2292498426659002,1.2292498426659002,0
historical,24,3,100.0,body,69,53,0,body_53,10,3,-0.021162471646846506,0.07690201990579702,-0.1255083231009081,-0.0017927048168055646,0.07976071007579599,0.12552112554531264,0.10434585145406158,0.07869472472260258,0.13069398002524554,0.7688525743254744,-0.7918576836072583,0.11841347379305521,-1.282968390043717,-1.6470638637239219,-2.301550509992981,0.4170684474500562,2.0877804628448224,2.3390341681786846,1.018582119949264,-2.064132311173978,2.30177143372507,-0.4691897620255592,-0.05852853555267734,4.868113058086618,0.2996628122999152,-0.8503862191599356,-5.248092881577151,0,-5.954468204237255,5.954468204237255,0
historical,17,2,100.0,body,103,87,0,body_87,17,2,0.0651181213029309,-0.038424836929088685,0.06756391122589529,0.197175381355159,0.07560977327733684,0.20842987576806987,-0.0024457899229643892,-0.23560021828424768,0.23561291293970377,-3.078694807034804,-0.7335518990290202,0.07444610076954251,-0.41811458587592487,-0.5004196499319461,-1.3773785313561475,2.6424260941963933,0.6521040047110642,2.979863634787811,0.9592639454802226,-3.1428457441283393,3.2859803238126517,-0.8737479621277482,-0.02610707018039237,3.759109744056122,-3.952442769162552,-0.7596589692094126,-9.861515351362296,0,-9.086110044465581,9.086110044465581,0
historical,24,3,100.0,body,67,51,0,body_51,10,1,0.048762193555124345,0.009315999056039633,-0.03403453746762056,0.07391439008265265,0.04964412713221516,0.08137374762124089,0.0827967310227449,-0.06459839102661301,0.10501547881755319,-0.4544873116374379,-0.7615454940417957,0.11841347379305521,0.8958138313467695,-2.209696276012683,-1.9263807232313364,1.9116704480423423,2.3843741427587446,2.7139319432800257,2.8221945545781058,-4.121366724055026,4.995042119746175,-0.9899523878117391,-0.2698540909637167,4.868113058086618,-1.444439699449177,-1.0313995850055124,-14.027038371720693,0,-12.563445526785895,12.563445526785895,0
historical,24,3,100.0,body,52,36,0,body_36,7,1,0.06510262104385492,-0.04107503048089508,-0.07681996893692795,0.13398130646183676,0.07697733040178933,0.1544418923371868,0.1419225899807829,-0.17505633694273184,0.2253591414845661,-1.3180825574884296,-1.3728275982680729,0.11841347379305521,-1.0630907421166942,-0.7771710769618329,-1.3913783493208995,4.086055392951351,1.3168738773475,4.316454839938183,0.32828760720420536,-4.863226469913183,4.874294251551511,-0.9658170244187577,0.2640805735269979,4.868113058086618,-2.2838995819071872,-1.1087470247410751,-16.33285033433703,0,-12.257144610711368,12.257144610711368,0
historical,17,2,100.0,body,92,76,1,body_76,15,1,0.09073818154614417,0.04992017231153997,-0.02407351015968295,0.07382212407821043,0.10356370596842729,0.07764818024156814,0.11481169170582713,-0.023901951766670454,0.11727330408328289,0.061474407752143585,-1.5740780308451308,0.07444610076954251,0.9584042230571188,2.023476439278071,-2.0823320268220127,1.2125156030003914,2.238971986222065,2.409626684249673,3.0407362498791315,0.8109608362776795,3.1470199267410424,-0.004803043357812186,-0.8371578238694631,3.759109744056122,0.0566713643943314,-2.411235854714594,0.06683516826762936,1,-0.049946875287866455,0.049946875287866455,0
historical,24,3,100.0,body,89,73,1,body_73,14,3,0.1068830100902993,0.14118984775663435,-0.020065837082124102,0.0986409793909777,0.17708345759981253,0.10066121712465846,0.12694884717242338,0.04254886836565665,0.13388956642548847,0.4896659554025075,-1.0191659674581846,0.11841347379305521,0.023798008479754922,3.8230583279795307,-4.077091174029189,-0.40692565133740655,3.823132396915028,4.097348035871871,4.1008891825089435,4.229983979316938,5.891524128143483,0.5444103829923131,-1.0808644009238169,4.868113058086618,1.0340763383948206,-2.1000303683820016,7.97886591499291,1,6.909090048319864,6.909090048319864,1
historical,17,2,100.0,body,27,11,1,body_11,2,1,-0.0160290119553438,0.05966289530259392,-0.22463223022298232,0.08841574520613155,0.06177855857943627,0.24140626101099058,0.2086032182676385,-0.028752849903537624,0.2105754711479744,0.3029636842378039,-2.8122909722233045,0.07444610076954251,-0.7250407132948442,3.097409593855603,0.16987836578402357,-0.39038925957512083,3.181136625177207,0.42574926089549653,-0.8949190790788678,3.487798853430724,3.6007806098250477,0.9577705272370227,-0.014561581283952667,3.759109744056122,1.2607342114748266,-2.826852553507257,10.322961349642123,1,9.95986117853634,9.95986117853634,1
historical,1,1,100.0,body,62,46,0,body_46,9,1,0.20220702028551862,0.06763057047398346,0.07826410816825131,0.023695811278122474,0.21321719704419856,0.08177262438921805,0.12394291211726731,0.04393475919586099,0.13149946208904026,0.38516398105639255,-1.0622710578913386,0.1163770798616715,0.7067943899062714,-0.9662629704480554,-1.533380462638346,1.9592981093269148,1.1971726849799398,2.487992106983664,2.2401748525446177,-2.9255610797749703,3.6847375756581893,-0.6133575049048976,-0.40623435124896884,5.008574259241557,-0.22819352384850505,-1.4685054091403074,-11.272558259249633,0,-10.76527064221705,10.76527064221705,0
historical,24,3,100.0,body,91,75,0,body_75,15,0,0.1184479394785927,-0.15653421530908782,-0.09545506769217436,0.15335545038072976,0.1962979239043455,0.18063655252908825,0.21390300717076705,-0.3098896656898176,0.3765449526657397,-2.3724547460308885,-2.1173868511570277,0.11841347379305521,-0.03597124456682452,-2.6569249062023967,-0.9947339181516347,4.372320942588611,2.6571683965519197,4.484047947214688,0.9587626735848102,-7.029245848791008,7.094330346622231,-1.4286189990828186,0.287729943106246,4.868113058086618,-3.8010737451137073,-1.8296569080507816,-24.93475937544479,0,-18.130545665112987,18.130545665112987,0
historical,24,3,100.0,body,32,16,0,body_16,3,1,-0.024465383088945344,0.014044229230160833,0.0543430016815987,0.13796446636806892,0.02820984481272729,0.1482813400667537,-0.07880838477054405,-0.12392023713790809,0.14685702803222425,-1.1210461499645161,0.5304384321966762,0.11841347379305521,2.394000566887403,-1.9630034285041809,-4.384910062861584,3.0225441450423594,3.0959039349722035,5.325712099627113,6.778910629748987,-4.98554757354654,8.414827029370217,-1.4243276738567212,-0.9793933998752118,4.868113058086618,-2.5453738238212376,-0.4489549676785356,-19.11147034506932,0,-18.07608463104753,18.07608463104753,0
historical,1,1,100.0,body,34,18,0,body_18,3,3,-0.1216317246889792,-0.08414109097583812,-0.08074764161153561,-0.0801337390766015,0.1478986127095853,0.11376114347272467,-0.040884083077443595,-0.004007351899236622,0.041080008743032484,-0.036957750718619155,0.35105049337283567,0.1163770798616715,-3.258918065435934,-3.1580060646125183,2.561207971984047,5.695440913056072,4.538011597754476,6.244824534754168,-5.820126037419981,-8.85344697766859,10.59515882268138,-1.6839664333698323,1.2803092636527904,5.008574259241557,-1.7209241840884515,1.631359757025626,-30.97727730717115,0,-29.555934773221768,29.555934773221768,0
historical,24,3,100.0,body,82,66,1,body_66,13,1,0.004768240882044405,0.20760714704454114,0.05721298867235152,-0.0017040547741758215,0.20766189738390364,0.057238360174764046,-0.05244474779030712,0.20931120181871696,0.21578144215289827,1.6989546545658833,0.6589573331442298,0.11841347379305521,-0.6216381364925606,-0.1278226665487737,2.1561392727106927,2.6074110560933597,0.6346436849331933,3.383419716612659,-2.7777774092032534,-2.7352337226421333,3.898403628738138,-0.34353816403774534,0.7233728771792384,4.868113058086618,1.355416490528138,1.382330210323468,-1.30667760885654,0,-4.359828880054217,4.359828880054217,0
